{'Dense_Out': {'bias': 0.03, 'kernel': 0.95}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': 0.03, 'kernel': 0.03}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': 0.03, 'kernel': 0.13}}, 'HeinsenMinGRULayer_2': {'Dense_x': {'bias': 0.04, 'kernel': 0.49}}, 'HeinsenMinGRULayer_3': {'Dense_x': {'bias': 0.03, 'kernel': 1.22}}}, 0.46893537044525146
{'Dense_Out': {'bias': 0.03, 'kernel': 1.48}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': 0.15, 'kernel': 0.1}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': 0.13, 'kernel': 0.29}}, 'HeinsenMinGRULayer_2': {'Dense_x': {'bias': 0.12, 'kernel': 1.5}}, 'HeinsenMinGRULayer_3': {'Dense_x': {'bias': 0.1, 'kernel': 2.71}}}, 0.576069712638855
{'Dense_Out': {'bias': 0.02, 'kernel': 0.92}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': 0.07, 'kernel': 0.05}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': 0.05, 'kernel': 0.11}}, 'HeinsenMinGRULayer_2': {'Dense_x': {'bias': 0.04, 'kernel': 0.38}}, 'HeinsenMinGRULayer_3': {'Dense_x': {'bias': 0.01, 'kernel': 0.32}}}, 0.36515942215919495
{'Dense_Out': {'bias': 0.07, 'kernel': 2.87}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': 0.03, 'kernel': 0.03}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': 0.06, 'kernel': 0.12}}, 'HeinsenMinGRULayer_2': {'Dense_x': {'bias': 0.03, 'kernel': 0.34}}, 'HeinsenMinGRULayer_3': {'Dense_x': {'bias': 0.04, 'kernel': 0.91}}}, 0.4153822958469391
{'Dense_Out': {'bias': 0.03, 'kernel': 1.44}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': 0.05, 'kernel': 0.03}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': 0.06, 'kernel': 0.12}}, 'HeinsenMinGRULayer_2': {'Dense_x': {'bias': 0.03, 'kernel': 0.36}}, 'HeinsenMinGRULayer_3': {'Dense_x': {'bias': 0.04, 'kernel': 1.08}}}, 0.4375312924385071
{'Dense_Out': {'bias': 0.06, 'kernel': 2.53}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': 0.1, 'kernel': 0.07}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': 0.1, 'kernel': 0.2}}, 'HeinsenMinGRULayer_2': {'Dense_x': {'bias': 0.05, 'kernel': 0.76}}, 'HeinsenMinGRULayer_3': {'Dense_x': {'bias': 0.07, 'kernel': 1.9}}}, 0.3789810240268707
{'Dense_Out': {'bias': 0.03, 'kernel': 1.32}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': 0.03, 'kernel': 0.03}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': 0.04, 'kernel': 0.08}}, 'HeinsenMinGRULayer_2': {'Dense_x': {'bias': 0.05, 'kernel': 0.54}}, 'HeinsenMinGRULayer_3': {'Dense_x': {'bias': 0.02, 'kernel': 0.52}}}, 0.34417736530303955
{'Dense_Out': {'bias': 0.03, 'kernel': 1.46}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': 0.04, 'kernel': 0.03}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': 0.06, 'kernel': 0.19}}, 'HeinsenMinGRULayer_2': {'Dense_x': {'bias': 0.12, 'kernel': 1.42}}, 'HeinsenMinGRULayer_3': {'Dense_x': {'bias': 0.03, 'kernel': 1.0}}}, 0.376848042011261
{'Dense_Out': {'bias': 0.02, 'kernel': 0.76}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': 0.05, 'kernel': 0.05}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': 0.04, 'kernel': 0.1}}, 'HeinsenMinGRULayer_2': {'Dense_x': {'bias': 0.03, 'kernel': 0.29}}, 'HeinsenMinGRULayer_3': {'Dense_x': {'bias': 0.01, 'kernel': 0.21}}}, 0.39775651693344116
{'Dense_Out': {'bias': 0.03, 'kernel': 0.86}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': 0.03, 'kernel': 0.02}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': 0.02, 'kernel': 0.08}}, 'HeinsenMinGRULayer_2': {'Dense_x': {'bias': 0.04, 'kernel': 0.54}}, 'HeinsenMinGRULayer_3': {'Dense_x': {'bias': 0.03, 'kernel': 0.69}}}, 0.3567582070827484
{'Dense_Out': {'bias': 0.04, 'kernel': 1.93}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': nan, 'kernel': nan}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': nan, 'kernel': nan}}, 'HeinsenMinGRULayer_2': {'Dense_x': {'bias': nan, 'kernel': nan}}, 'HeinsenMinGRULayer_3': {'Dense_x': {'bias': nan, 'kernel': nan}}}, 0.4004998207092285
{'Dense_Out': {'bias': nan, 'kernel': nan}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': nan, 'kernel': nan}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': nan, 'kernel': nan}}, 'HeinsenMinGRULayer_2': {'Dense_x': {'bias': nan, 'kernel': nan}}, 'HeinsenMinGRULayer_3': {'Dense_x': {'bias': nan, 'kernel': nan}}}, nan
